date,open,high,low,close,volume
2025-09-04 09:15:00+05:30,960.2,964.0,956.3,960.4,1521086
2025-09-04 09:30:00+05:30,960.6,961.85,960.1,961.3,628676
2025-09-04 09:45:00+05:30,961.4,963.1,960.95,961.75,489861
2025-09-04 10:00:00+05:30,961.55,962.8,958.7,958.7,441846
2025-09-04 10:15:00+05:30,958.9,960.4,958.0,958.6,602313
2025-09-04 10:30:00+05:30,958.6,959.5,956.25,959.15,623052
2025-09-04 10:45:00+05:30,959.15,960.0,958.0,959.5,312997
2025-09-04 11:00:00+05:30,959.7,960.75,959.55,959.55,228556
2025-09-04 11:15:00+05:30,959.65,962.45,959.55,962.45,317378
2025-09-04 11:30:00+05:30,962.45,964.15,961.0,962.85,877260
2025-09-04 11:45:00+05:30,962.9,963.4,960.35,961.55,896515
2025-09-04 12:00:00+05:30,961.5,963.45,960.8,962.1,848593
2025-09-04 12:15:00+05:30,962.1,962.6,960.45,962.4,498317
2025-09-04 12:30:00+05:30,962.45,964.9,962.1,964.85,656462
2025-09-04 12:45:00+05:30,964.9,965.7,963.05,964.2,498800
2025-09-04 13:00:00+05:30,964.2,964.9,962.5,963.05,515660
2025-09-04 13:15:00+05:30,963.05,964.35,962.65,963.65,392252
2025-09-04 13:30:00+05:30,963.6,964.6,962.4,962.95,556133
2025-09-04 13:45:00+05:30,963.05,963.35,960.95,962.4,872739
2025-09-04 14:00:00+05:30,962.4,964.05,962.15,962.6,457715
2025-09-04 14:15:00+05:30,962.6,962.85,958.05,959.6,635035
2025-09-04 14:30:00+05:30,959.85,962.7,959.4,962.15,860230
2025-09-04 14:45:00+05:30,962.2,962.75,959.85,960.4,1066227
2025-09-04 15:00:00+05:30,960.4,962.2,960.2,960.4,1235429
2025-09-04 15:15:00+05:30,960.4,962.35,960.0,960.95,1111112
2025-09-05 09:15:00+05:30,967.5,967.5,958.9,959.4,997097
2025-09-05 09:30:00+05:30,959.7,961.0,959.4,959.9,246875
2025-09-05 09:45:00+05:30,959.9,960.0,957.9,958.3,230548
2025-09-05 10:00:00+05:30,958.3,958.45,956.5,956.6,255006
2025-09-05 10:15:00+05:30,956.55,957.4,954.05,956.45,315624
2025-09-05 10:30:00+05:30,956.45,956.6,954.75,956.15,248790
2025-09-05 10:45:00+05:30,956.15,956.85,954.7,955.6,390972
2025-09-05 11:00:00+05:30,955.8,957.35,955.05,957.1,144397
2025-09-05 11:15:00+05:30,957.1,958.9,956.85,958.8,312946
2025-09-05 11:30:00+05:30,958.7,959.35,957.7,958.8,385569
2025-09-05 11:45:00+05:30,958.75,959.3,957.95,958.25,263171
2025-09-05 12:00:00+05:30,958.25,958.5,957.95,958.15,144466
2025-09-05 12:15:00+05:30,958.15,958.7,957.8,958.4,133687
2025-09-05 12:30:00+05:30,958.45,958.7,957.55,958.2,437602
2025-09-05 12:45:00+05:30,958.2,958.2,956.65,957.05,445515
2025-09-05 13:00:00+05:30,957.1,958.05,956.8,957.35,765345
2025-09-05 13:15:00+05:30,957.35,959.0,957.1,958.15,390975
2025-09-05 13:30:00+05:30,958.2,960.3,958.15,959.95,472999
2025-09-05 13:45:00+05:30,960.1,963.75,960.0,963.65,853476
2025-09-05 14:00:00+05:30,963.55,964.3,962.05,962.25,553891
2025-09-05 14:15:00+05:30,962.25,964.6,962.1,964.2,598479
2025-09-05 14:30:00+05:30,964.1,965.0,962.5,962.55,569599
2025-09-05 14:45:00+05:30,962.55,965.0,962.5,964.75,300042
2025-09-05 15:00:00+05:30,964.55,964.75,962.9,963.15,937347
2025-09-05 15:15:00+05:30,963.15,964.2,961.45,962.6,720593
2025-09-08 09:15:00+05:30,969.0,969.0,961.05,964.1,973000
2025-09-08 09:30:00+05:30,964.0,967.35,963.55,966.7,484086
2025-09-08 09:45:00+05:30,966.6,966.7,962.1,963.25,253076
2025-09-08 10:00:00+05:30,963.35,965.2,963.0,963.25,251521
2025-09-08 10:15:00+05:30,963.0,964.95,962.45,962.55,307498
2025-09-08 10:30:00+05:30,962.55,963.4,960.45,962.95,384021
2025-09-08 10:45:00+05:30,962.95,964.35,962.6,964.3,217260
2025-09-08 11:00:00+05:30,964.35,966.25,963.3,966.0,213378
2025-09-08 11:15:00+05:30,966.1,968.85,966.0,968.7,715240
2025-09-08 11:30:00+05:30,968.7,970.9,968.1,970.5,543571
2025-09-08 11:45:00+05:30,970.5,970.8,968.3,969.4,392073
2025-09-08 12:00:00+05:30,969.4,970.4,968.85,970.0,277746
2025-09-08 12:15:00+05:30,970.0,970.6,968.7,969.3,219810
2025-09-08 12:30:00+05:30,969.3,970.55,968.5,970.3,276563
2025-09-08 12:45:00+05:30,970.35,970.9,969.6,970.8,321313
2025-09-08 13:00:00+05:30,970.85,971.8,969.9,971.2,289674
2025-09-08 13:15:00+05:30,971.35,971.45,969.75,970.4,285832
2025-09-08 13:30:00+05:30,970.55,970.95,969.9,970.6,265479
2025-09-08 13:45:00+05:30,970.6,970.8,969.5,970.1,324414
2025-09-08 14:00:00+05:30,970.2,970.5,968.65,969.6,710615
2025-09-08 14:15:00+05:30,969.6,970.95,968.95,969.95,445638
2025-09-08 14:30:00+05:30,970.0,973.15,970.0,973.0,458162
2025-09-08 14:45:00+05:30,973.1,973.1,965.2,969.05,876085
2025-09-08 15:00:00+05:30,969.1,969.1,965.0,966.3,963514
2025-09-08 15:15:00+05:30,966.3,968.3,965.25,967.35,895959
2025-09-09 09:15:00+05:30,974.0,974.4,969.15,971.65,1528661
2025-09-09 09:30:00+05:30,971.75,972.6,969.7,970.3,500224
2025-09-09 09:45:00+05:30,970.55,970.65,969.5,969.85,281731
